lunar_month,sex,body_length_cm,body_weight_g,greater_wing_sphenoid_length_mm,greater_wing_sphenoid_width_mm,lesser_wing_sphenoid_length_mm,lesser_wing_sphenoid_width_mm,sphenoid_length_mm,sphenoid_width_mm,petrous_part_length_mm,petrous_part_width_mm,basal_occipital_length_mm,basal_occipital_width_mm,lateral_occipital_length_mm,lateral_occipital_width_mm,dataset
6,M,30,560,17.4,9.6,8,6.5,5.5,11.9,17,9.5,8.5,7.5,11,6.5,Fazekas and Kosa
6,M,31,600,20,10,8,6.5,7,12,18,10,8.5,8,12,7,Fazekas and Kosa
6,M,31,520,17,9.5,8.6999999999999993,6.5,5.5,12,19,10,9.5,7.5,11.5,6.7,Fazekas and Kosa
6,M,31,730,20,11.2,10.199999999999999,6.7,7,12.2,20,10,9.5,8.9,13.2,7.3,Fazekas and Kosa
6,M,31,600,20,11,10.1,6.5,6,12,19.5,11,8.4,8.3,12.5,6.5,Fazekas and Kosa
6,F,30,610,20.5,10.8,8.1999999999999993,6,5.8,11.5,18.5,10,9.1,8.5,12.7,7.2,Fazekas and Kosa
6,F,30,560,19.5,10,9.1999999999999993,6.4,5.4,11.2,19.5,10.1,9.6,7.5,12.5,6.5,Fazekas and Kosa
6,F,30,600,20.2,10,9.5,6.7,6.1,11.5,19.8,10,8.7,8.9,12.5,7.1,Fazekas and Kosa
6,F,31,770,19.9,9.8,9,5.6,6.7,12,18,10.6,8.1,7.5,10,5.5,Fazekas and Kosa
6,F,31,590,19,9,9,7,6,11.5,19.5,10,8,8,11.6,6.5,Fazekas and Kosa
6,F,31,610,17.5,10.5,9.5,6.9,6.1,11,19.2,11.2,8,8.2,11.4,7,Fazekas and Kosa
6.5,M,33,640,19.5,11,10,6.5,6.5,12,20,10,9.3,8.5,13.4,7.5,Fazekas and Kosa
6.5,M,32,700,20,10.4,10,7,7,12,20,10,9.2,8.9,13.5,7.5,Fazekas and Kosa
6.5,M,32,600,18.3,9.8,11.1,7,8,12,19,12,8.5,8,12.2,6.8,Fazekas and Kosa
6.5,M,33,670,20,11,10,6.8,8,12,20,10,9,8,13,7,Fazekas and Kosa
6.5,F,32,680,19,10,11,6.5,7.5,12.5,18.5,10,9,8.5,12.5,7,Fazekas and Kosa
6.5,F,32,670,20,10,10,6.5,7,12,19,10,9,8.4,13,7,Fazekas and Kosa
6.5,F,33,625,20.5,10.4,11,7,7.2,12,20,10,9.3,9.4,14.5,7.2,Fazekas and Kosa
6.5,F,32,660,19.1,10.4,11,7,8,12,21,10.1,9,8.5,13,7,Fazekas and Kosa
6.5,F,33,710,21.5,10.5,12.5,7,8,12,22.2,11.6,9.6,8,13.2,7.2,Fazekas and Kosa
6.5,F,33,630,18.3,11.1,10.5,6.5,7,12,19,11,9.2,8.3,12.5,6.8,Fazekas and Kosa
6.5,F,33,730,20,10.5,10,8.5,6.5,13,20,11,9,8,13,7,Fazekas and Kosa
6.5,F,33,700,20.5,10.5,11,8.5,7.5,13,21,11,9,8,13,7,Fazekas and Kosa
7,M,35,265,21.6,10.4,12,7.5,8,12.5,22.7,11.5,9.1,9.2,14.5,8.1,Fazekas and Kosa
7,M,35,780,20,12.7,12.5,8,7.5,13,20,10,10.5,9,13.7,7.7,Fazekas and Kosa
7,M,35,780,21,12,11.5,8,8,12,22,11,10,8.9,14,7.5,Fazekas and Kosa
7,M,35,770,20.1,10.4,12,6.5,7.5,12.5,20,11,10.1,8.8,13.9,7.7,Fazekas and Kosa
7,M,35,900,20,11,13,7,8,13,20,11,9.5,9,14,8,Fazekas and Kosa
7,M,35,900,21.5,12,12.5,8,7.2,12,22,10,9.5,8,13,7.7,Fazekas and Kosa
7,M,35,910,33.2,12.6,12,7,7.5,12.2,21,12,9.8,9.2,15,8.2,Fazekas and Kosa
7,F,35,770,21.5,11,12.5,7,7.8,12,20,10,9,8.5,13,7.5,Fazekas and Kosa
7,F,36,800,22,12,12,8,7.5,12,22,10,10,9.5,14.5,8,Fazekas and Kosa
7,F,36,1000,22.8,12,13,8,7.9,13.1,22.2,11.5,9,9,13.6,8,Fazekas and Kosa
7,F,36,960,22,12,13,7.6,8.3000000000000007,13.2,22,11,9,9.8,14.5,8.5,Fazekas and Kosa
7,F,36,950,22,12,13,8,8.5,12,22,12,10,9.5,15,8,Fazekas and Kosa
7.5,M,38,1150,22,14,14,9,9,13,24,14,10.5,10.5,15,9,Fazekas and Kosa
7.5,M,37,820,21.1,12.8,13,9,9,13,20,12,9.6,9.3,14.7,8,Fazekas and Kosa
7.5,M,37,930,21.3,13,13,8,7.5,14,19.100000000000001,10.8,9.6,9.3,14.7,8.9,Fazekas and Kosa
7.5,M,37,1110,22,10,14,9,7.8,14.5,21,13,10,8.5,14.9,7,Fazekas and Kosa
7.5,M,38,1010,21.5,10,14,7.5,7.6,14,22,13,10.5,9,13,8,Fazekas and Kosa
7.5,M,38,1040,22,14,15,8,8,12,24,13,10.5,11.5,14,10,Fazekas and Kosa
7.5,F,37,1010,24,13,13,7,7.2,13.2,25,14,10,10,15,8,Fazekas and Kosa
7.5,F,37,810,20,11.8,12.2,7.5,7.9,13,21.2,14.7,9.4,8.6,13.7,8.5,Fazekas and Kosa
7.5,F,37,920,23,11,13.5,8,8.8000000000000007,14,24,14,10,11,16,8,Fazekas and Kosa
7.5,F,38,950,20.5,13.5,13,8,7.7,13.5,20.2,13.1,10.5,9.5,13.8,9,Fazekas and Kosa
7.5,F,38,1100,25,13.5,150,9,8.5,14,25,14,11,11,16,9,Fazekas and Kosa
7.5,F,38,1100,21.5,14,15,8,8.6,14,24,11,10,11,15,8.5,Fazekas and Kosa
8,M,40,1200,24,14,14.5,9,8.5,14,28,13,10.8,11,18.2,10,Fazekas and Kosa
8,M,40,1310,24,12,14,8,9,14,29,12,10,10.5,16.2,8.2,Fazekas and Kosa
8,M,40,1460,26,14.5,14,8,8.5,13.5,28,13,11.1,12,18,10.5,Fazekas and Kosa
8,M,40,1500,25,12.5,14.5,9,8.3000000000000007,14,29,13.5,10.5,11,17.8,8,Fazekas and Kosa
8,M,40,1410,23,15,15,9,8.5,15,30,14,11,12,17,9.5,Fazekas and Kosa
8,F,40,1310,26.1,12.9,14.2,8,8.9,15,26,14,10,9.2,17,8.8,Fazekas and Kosa
8,F,40,1330,23.4,14.6,15.5,8,8.5,15,27.3,14,11,11.3,17.5,8,Fazekas and Kosa
8,F,40,1250,24,14,15,9,8.3000000000000007,15.1,26.7,13.7,10,11,15,9,Fazekas and Kosa
8.5,M,42,1900,24,14.6,14,8.5,9,14,30.7,16.8,11.7,11.5,20,10,Fazekas and Kosa
8.5,M,42,1920,25,15,14.5,8.8000000000000007,9,15,30,16,11,12,18,12,Fazekas and Kosa
8.5,M,42,1860,21.6,15.2,15,9,9,15,30,16.3,10.4,11.7,19.3,11.7,Fazekas and Kosa
8.5,M,43,2100,27.5,16,15,10,9,15,29,15.8,10.8,12,18,11.5,Fazekas and Kosa
8.5,M,42,1920,26.2,15,15,8.8000000000000007,8.6,14.5,30,15,11,12.5,20.2,12.1,Fazekas and Kosa
